Spot,Continent,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Zone url,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDec,Distance_num,Wave quality_num,Experience_num,Frequency_num,Normal length_num,Good day length_num
baja_malibu,Central_America,Mexico,Baja_Norte,,,32.3411,-117.0723667,Take a car,Short walk (5-15 mn),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow; Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest; South,SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,5,3,2,4,1,2
calafia,Central_America,Mexico,Baja_Norte,,,32.26766667,-117.0193333,Take a car,Good walk (15-30 mn),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Regular,Reef-rocky,Right,Reef (coral; sharp rocks etc..),Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest,North; NorthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,High tide only,Rising tide,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,5,4,3,3,1,2
quatro_casas,Central_America,Mexico,Baja_Norte,,,30.9335,-116.2422167,Surf trip,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Normal,All surfers,Don't know,Point-break,Right,Reef (coral; sharp rocks etc..),Ordinary; Fun,Normal (50 to 150m),Long (150 to 300 m),NorthWest; West; SouthWest,North; SouthEast; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,2,3,2,,2,3
todos_santos,Central_America,Mexico,Baja_Norte,,,31.80895,-116.8096833,Day trip,Short walk (5-15 mn),Easy to find,Public access,By boat only,World Class,Pros or kamikaze only...,Don't know,Beach-break,Right and left,Sandy,,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at 1.5m-2m /5ft-6ft and holds up to 5m / 16 ft and over,Low and mid tide,Rising tide,Few surfers,Crowded,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,4,5,4,,2,3
k-181,Central_America,Mexico,Baja_Norte,,,31.25856667,-116.3745333,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Normal,Experienced surfers,Don't know,Reef-rocky,Right,Reef (coral; sharp rocks etc..),Powerless; Ledgey,Normal (50 to 150m),,North; NorthWest; West,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,Mid and high tide,,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,5,3,3,,2,
k38,Central_America,Mexico,Baja_Norte,,,32.25893333,-116.98635,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Don't know,Point-break,Right and left,Reef (coral; sharp rocks etc..),Powerless,Normal (50 to 150m),Long (150 to 300 m),NorthWest; West; SouthWest; South,East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Mid and high tide,,Few surfers,Ultra crowded,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,5,4,2,,2,3
la_fonda,Central_America,Mexico,Baja_Norte,,,32.16595,-116.9045333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy with rock,Ordinary,Normal (50 to 150m),Normal (50 to 150m),NorthWest; West; SouthWest,East,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,5,3,2,4,2,2
punta_baja,Central_America,Mexico,Baja_Norte,,,29.953,-115.7547,Week-end trip,Short walk (5-15 mn),OK,Public access,4x4,Normal,All surfers,Sometimes break,Point-break,Right and left,Flat rocks with sand,Fun,Normal (50 to 150m),Long (150 to 300 m),NorthWest; West; SouthWest,SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising tide,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,3,3,2,2,2,3
punta_cabras,Central_America,Mexico,Baja_Norte,,,31.34755,-116.4574,Week-end trip,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Normal,All surfers,Don't know,Sand-bar,Right and left,Sandy with rock,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at  and holds up to ,,,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,3,3,2,,1,2
punta_san_jose,Central_America,Mexico,Baja_Norte,,,31.46388333,-116.5906833,Surf trip,Short walk (5-15 mn),OK,Public access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Reef-rocky,Right and left,Flat rocks,Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),NorthWest; West; SouthWest,SouthEast; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,All tides,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,2,4,2,4,2,3
Salsipuedes,Central_America,Mexico,Baja_Norte,,,31.97683333,-116.7905833,Day trip,Long walk (&gt;30 mn),Easy to find,Private access,By boat only,Regional Classic,Experienced surfers,Don't know,Point-break,Right,Reef (coral; sharp rocks etc..),Hollow; Fast,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at  and holds up to ,,,Empty,Crowded,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,4,4,3,,2,3
san_miguel,Central_America,Mexico,Baja_Norte,,,31.90066667,-116.7303167,Day trip,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Experienced surfers,Don't know,Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Normal (50 to 150m),NorthWest; West; SouthWest,East,Starts working at  and holds up to ,Mid and high tide,Rising and falling tides,Crowded,,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,4,4,3,,2,2
stack_s,Central_America,Mexico,Baja_Norte,,,31.89266667,-116.6966833,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Reef-rocky,Left,Sandy with rock,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),North; East; NorthEast,NorthWest; West; SouthWest,Starts working at 1.5m-2m /5ft-6ft and holds up to 2m+ / 6ft+,Low and mid tide,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,5,3,2,4,1,2
staks,Central_America,Mexico,Baja_Norte,,,31.89255,-116.6966667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Private access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Reef-rocky,Left,Sandy with rock,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),North; NorthWest; West; SouthWest; South,NorthWest,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,Low and mid tide,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/Central_America/Mexico/Baja_Norte/index.html,2,1,1,1,1,2,5,3,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Shorty,Shorty,Shorty,55,57,63,72,72,64,64,68,81,90,75,64,5,4,2,4,1,2
Barra_de_Navidad,Central_America,Mexico,Jalisco,,,19.20466667,-104.6926667,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Reef-rocky,Right,Flat rocks,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),North; NorthWest; West,SouthWest; South; SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to Don't know,Low and mid tide,Falling tide,Few surfers,Few surfers,http://www.wannasurf.com/spot/Central_America/Mexico/Jalisco/index.html,2,2,1,1,2,2,4,3,2,3,5,5,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,61,63,63,64,63,63,73,82,90,95,90,79,4,3,2,4,1,2
chacala,Central_America,Mexico,Jalisco,,,21.18756667,-105.2298833,Day trip,Don't know,Hard to find,Don't know,By boat only,Regional Classic,All surfers,Regular,Point-break,Left,Reef (coral; sharp rocks etc..),Fun,Normal (50 to 150m),Long (150 to 300 m),West; SouthWest,SouthEast; East,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Mexico/Jalisco/index.html,2,2,1,1,2,2,4,3,2,3,5,5,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,61,63,63,64,63,63,73,82,90,95,90,79,4,4,2,3,2,3
el_tecuan,Central_America,Mexico,Jalisco,,,20.23765,-105.5738333,Surf trip,Short walk (5-15 mn),OK,Public access,4x4,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Fast; Fun; Powerless,Normal (50 to 150m),Very Long (300 to 500 m),North; West; South; East,North; West; South; East,Starts working at 3m-3.5m / 10ft-12ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Mexico/Jalisco/index.html,2,2,1,1,2,2,4,3,2,3,5,5,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,61,63,63,64,63,63,73,82,90,95,90,79,2,4,2,4,2,4
Paraiso,Central_America,Mexico,Jalisco,,,18.87463333,-103.9894333,Day trip,Short walk (5-15 mn),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Beach-break,Right and left,Sandy,Hollow,Short (&amp;lt; 50m),Normal (50 to 150m),South,SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,Rising tide,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Mexico/Jalisco/index.html,2,2,1,1,2,2,4,3,2,3,5,5,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,61,63,63,64,63,63,73,82,90,95,90,79,4,4,3,3,1,2
pasqwalis,Central_America,Mexico,Jalisco,,,18.85528333,-103.96105,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,World Class,Experienced surfers,Very consistent (150 day/year),Sand-bar,Right and left,Sandy,Hollow; Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast,,Starts working at Less than 1m / 3ft and holds up to 5m / 16 ft and over,,,Crowded,Ultra crowded,http://www.wannasurf.com/spot/Central_America/Mexico/Jalisco/index.html,2,2,1,1,2,2,4,3,2,3,5,5,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,61,63,63,64,63,63,73,82,90,95,90,79,5,5,3,4,1,2
puerto_vallarta,Central_America,Mexico,Jalisco,,,20.73813333,-105.4028333,In the city,Instant access (&amp;lt; 5min),Easy to find,Private access,Don't know,Normal,All surfers,Regular,Sand-bar,Right and left,Sandy,Hollow; Fast,Short (&amp;lt; 50m),Short (&amp;lt; 50m),NorthWest; West; SouthWest,SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 1m+ / 3ft+,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Mexico/Jalisco/index.html,2,2,1,1,2,2,4,3,2,3,5,5,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,61,63,63,64,63,63,73,82,90,95,90,79,6,3,2,3,1,1
veneros,Central_America,Mexico,Jalisco,,,20.7887,-105.5066833,Day trip,Long walk (&gt;30 mn),Hard to find,Private access,Paddle &gt; 20mn or Boat,Choss,Pros or kamikaze only...,,Beach-break,Right,Sandy with rock,Powerless,,,West; SouthWest; South,East; NorthEast,Starts working at 2m-2.5m / 6ft-8ft and holds up to 3m+ / 10ft+,High tide only,,Crowded,Ultra crowded,http://www.wannasurf.com/spot/Central_America/Mexico/Jalisco/index.html,2,2,1,1,2,2,4,3,2,3,5,5,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,61,63,63,64,63,63,73,82,90,95,90,79,4,1,4,,,
boca_de_apisa,Central_America,Mexico,Michoacan,,,19.16333333,-104.4140667,Take a car,Instant access (&amp;lt; 5min),Hard to find,Public access,4x4,Regional Classic,Experienced surfers,Very consistent (150 day/year),Rivermouth,Right and left,Sandy,Hollow; Fast; Powerful; Fun,Normal (50 to 150m),Normal (50 to 150m),SouthWest; South,,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,Low and mid tide,Rising tide,,,http://www.wannasurf.com/spot/Central_America/Mexico/Michoacan/index.html,2,2,2,2,2,2,4,4,5,5,5,4,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,75,81,81,81,81,75,81,81,90,95,90,81,5,4,3,4,2,2
la_ticla,Central_America,Mexico,Michoacan,,,18.45415,-103.5585667,Surf trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Don't know,Point-break,Right and left,Flat rocks,Fun,Normal (50 to 150m),Long (150 to 300 m),North; NorthWest; West; SouthWest; South,North; NorthWest; West; SouthWest; South,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,All tides,,Crowded,Ultra crowded,http://www.wannasurf.com/spot/Central_America/Mexico/Michoacan/index.html,2,2,2,2,2,2,4,4,5,5,5,4,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,75,81,81,81,81,75,81,81,90,95,90,81,2,4,3,,2,3
rio_nexpa,Central_America,Mexico,Michoacan,,,18.08551667,-102.7911333,Day trip,Short walk (5-15 mn),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Very consistent (150 day/year),Rivermouth,Left,Boulders,Fast; Powerful,Long (150 to 300 m),Very Long (300 to 500 m),SouthWest; South,North; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,Low and mid tide,Rising tide,Crowded,Crowded,http://www.wannasurf.com/spot/Central_America/Mexico/Michoacan/index.html,2,2,2,2,2,2,4,4,5,5,5,4,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,75,81,81,81,81,75,81,81,90,95,90,81,4,4,3,4,3,4
Aglayankaya,Middle_East,Turkey,Black-Sea,,,41.17513333,29.62473333,Take a car,Don't know,Easy to find,Public access,Don't know,Sloppy,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),NorthEast,North; NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 1m+ / 3ft+,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Middle_East/Turkey/Black-Sea/index.html,2,2,1,2,2,2,3,2,1,2,3,3,Equipamento de sobrevivência,Equipamento de sobrevivência,Fato integral,Fato de meia estação,Equipamento de sobrevivência,Equipamento de sobrevivência,43,50,61,72,57,46,39,59,68,77,59,41,5,2,2,3,1,2
Erba,Middle_East,Turkey,Black-Sea,,,41.15168333,30.19636667,Take a car,Don't know,Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),,North,Starts working at  and holds up to ,,,Empty,Few surfers,http://www.wannasurf.com/spot/Middle_East/Turkey/Black-Sea/index.html,2,2,1,2,2,2,3,2,1,2,3,3,Equipamento de sobrevivência,Equipamento de sobrevivência,Fato integral,Fato de meia estação,Equipamento de sobrevivência,Equipamento de sobrevivência,43,50,61,72,57,46,39,59,68,77,59,41,5,3,2,2,1,2
Kumcagiz,Middle_East,Turkey,Black-Sea,,,41.15946667,30.21978333,Take a car,Don't know,Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,,Short (&amp;lt; 50m),Normal (50 to 150m),,North; NorthEast,Starts working at  and holds up to ,,,Few surfers,Crowded,http://www.wannasurf.com/spot/Middle_East/Turkey/Black-Sea/index.html,2,2,1,2,2,2,3,2,1,2,3,3,Equipamento de sobrevivência,Equipamento de sobrevivência,Fato integral,Fato de meia estação,Equipamento de sobrevivência,Equipamento de sobrevivência,43,50,61,72,57,46,39,59,68,77,59,41,5,3,2,2,1,2
Mavi_Rife,Middle_East,Turkey,Black-Sea,,,41.18725,30.242,Take a car,Instant access (&amp;lt; 5min),OK,Private access,Don't know,Regional Classic,All surfers,Don't know,Sand-bar,Right and left,Sandy,Ordinary,Short (&amp;lt; 50m),Short (&amp;lt; 50m),North; NorthWest; West; NorthEast,SouthWest; SouthEast; East,Starts working at Less than 1m / 3ft and holds up to Don't know,Don't know,Don't know,Empty,Few surfers,http://www.wannasurf.com/spot/Middle_East/Turkey/Black-Sea/index.html,2,2,1,2,2,2,3,2,1,2,3,3,Equipamento de sobrevivência,Equipamento de sobrevivência,Fato integral,Fato de meia estação,Equipamento de sobrevivência,Equipamento de sobrevivência,43,50,61,72,57,46,39,59,68,77,59,41,5,4,2,,1,1
Merkez_Sile,Middle_East,Turkey,Black-Sea,,,41.1585,29.61913333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Powerful; Ordinary; Fun,Normal (50 to 150m),Long (150 to 300 m),North; NorthWest; NorthEast,North; NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Middle_East/Turkey/Black-Sea/index.html,2,2,1,2,2,2,3,2,1,2,3,3,Equipamento de sobrevivência,Equipamento de sobrevivência,Fato integral,Fato de meia estação,Equipamento de sobrevivência,Equipamento de sobrevivência,43,50,61,72,57,46,39,59,68,77,59,41,5,4,2,4,2,3
Sarisu,Middle_East,Turkey,Black-Sea,,,41.14008333,30.15213333,Take a car,Don't know,Easy to find,Private access,Don't know,Sloppy,All surfers,Very consistent (150 day/year),Sand-bar,Right and left,Sandy,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at  and holds up to ,Don't know,,Empty,Few surfers,http://www.wannasurf.com/spot/Middle_East/Turkey/Black-Sea/index.html,2,2,1,2,2,2,3,2,1,2,3,3,Equipamento de sobrevivência,Equipamento de sobrevivência,Fato integral,Fato de meia estação,Equipamento de sobrevivência,Equipamento de sobrevivência,43,50,61,72,57,46,39,59,68,77,59,41,5,2,2,4,1,2
woodyville,Middle_East,Turkey,Black-Sea,,,41.1574,29.72848333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Private access,Don't know,Sloppy,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy with rock,Fast; Powerful; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),North; NorthWest; West; NorthEast,North; NorthWest; West; South; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Middle_East/Turkey/Black-Sea/index.html,2,2,1,2,2,2,3,2,1,2,3,3,Equipamento de sobrevivência,Equipamento de sobrevivência,Fato integral,Fato de meia estação,Equipamento de sobrevivência,Equipamento de sobrevivência,43,50,61,72,57,46,39,59,68,77,59,41,5,2,2,4,1,2
29th_Street,North_America,Canada,West_Coast,,,49.33496667,-123.1947333,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Sloppy,Experienced surfers,Rarely break (5day/year),Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest,NorthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid tide,Don't know,Few surfers,Few surfers,http://www.wannasurf.com/spot/North_America/Canada/West_Coast/index.html,2,1,1,1,1,2,,,,,,,Survival Kit,Survival Kit,Fullsuit,Fullsuit,Fullsuit,Survival Kit,45,48,52,55,54,48,41,48,59,64,59,43,5,2,3,1,1,2
Ambleside_Park,North_America,Canada,West_Coast,,,49.32501667,-123.1517167,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Rarely break (5day/year),Beach-break,Right and left,Reef (coral;sharp rocks etc..) with sand,,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/North_America/Canada/West_Coast/index.html,2,1,1,1,1,2,,,,,,,Survival Kit,Survival Kit,Fullsuit,Fullsuit,Fullsuit,Survival Kit,45,48,52,55,54,48,41,48,59,64,59,43,6,3,2,1,1,1
Bowie_Seamount,North_America,Canada,West_Coast,,,53.30708333,-135.6598667,Surf trip,,OK,Public access,By boat only,Totally Epic,Pros or kamikaze only...,Don't know,Reef-rocky,Don't know,Reef (coral; sharp rocks etc..),Powerful,Don't know,Don't know,Don't know,Don't know,Starts working at Don't know and holds up to 5m / 16 ft and over,Don't know,Don't know,Empty,Empty,http://www.wannasurf.com/spot/North_America/Canada/West_Coast/index.html,2,1,1,1,1,2,,,,,,,Survival Kit,Survival Kit,Fullsuit,Fullsuit,Fullsuit,Survival Kit,45,48,52,55,54,48,41,48,59,64,59,43,2,6,4,,,
chesterman_beach,North_America,Canada,West_Coast,,,49.06851667,-125.8035667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Don't know,Beach-break,Right and left,Sandy,Ordinary,Normal (50 to 150m),Normal (50 to 150m),,,Starts working at  and holds up to ,All tides,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/North_America/Canada/West_Coast/index.html,2,1,1,1,1,2,,,,,,,Survival Kit,Survival Kit,Fullsuit,Fullsuit,Fullsuit,Survival Kit,45,48,52,55,54,48,41,48,59,64,59,43,5,3,2,,2,2
chestermans_beach_-_north,North_America,Canada,West_Coast,,,49.11776667,-125.8992833,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,,Regular,Sand-bar,Right and left,Sandy,Powerless,Short (&amp;lt; 50m),,SouthWest,SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/North_America/Canada/West_Coast/index.html,2,1,1,1,1,2,,,,,,,Survival Kit,Survival Kit,Fullsuit,Fullsuit,Fullsuit,Survival Kit,45,48,52,55,54,48,41,48,59,64,59,43,5,4,,3,1,
china_beach,North_America,Canada,West_Coast,,,48.43343333,-124.0935833,Take a car,Short walk (5-15 mn),Easy to find,Public access,Don't know,Normal,Beginners wave,Sometimes break,Beach-break,Right,Sandy,Ordinary,,,NorthWest,NorthWest; West,Starts working at  and holds up to ,,,Few surfers,Crowded,http://www.wannasurf.com/spot/North_America/Canada/West_Coast/index.html,2,1,1,1,1,2,,,,,,,Survival Kit,Survival Kit,Fullsuit,Fullsuit,Fullsuit,Survival Kit,45,48,52,55,54,48,41,48,59,64,59,43,5,3,1,2,,
cox_bay,North_America,Canada,West_Coast,,,49.10196667,-125.8803167,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,Regional Classic,All surfers,Don't know,Beach-break,Right and left,Sandy,Fast; Powerful; Fun,Normal (50 to 150m),Normal (50 to 150m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,All tides,Rising and falling tides,Few surfers,Few surfers,http://www.wannasurf.com/spot/North_America/Canada/West_Coast/index.html,2,1,1,1,1,2,,,,,,,Survival Kit,Survival Kit,Fullsuit,Fullsuit,Fullsuit,Survival Kit,45,48,52,55,54,48,41,48,59,64,59,43,5,4,2,,2,2
Florencia_Bay,North_America,Canada,West_Coast,,,48.99385,-125.6362167,In the city,Good walk (15-30 mn),OK,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy with rock,Hollow; Ordinary; Fun,Don't know,Don't know,NorthWest; West,East,Starts working at Don't know and holds up to Don't know,Don't know,Don't know,Empty,Few surfers,http://www.wannasurf.com/spot/North_America/Canada/West_Coast/index.html,2,1,1,1,1,2,,,,,,,Survival Kit,Survival Kit,Fullsuit,Fullsuit,Fullsuit,Survival Kit,45,48,52,55,54,48,41,48,59,64,59,43,6,3,2,4,,
