Spot,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,
point_plomer,Australia,NSW,Mid_North_Coast,,-31.3125833333,152.971633333,Week-end trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Point-break,Right,Flat rocks with sand,Fun,Short (&amp;lt; 50m),Long (150 to 300 m),SouthEast,NorthWest; West,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,,,Empty,Few surfers,
rainbow_beach,Australia,NSW,Mid_North_Coast,,-31.5894166667,152.840333333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,Experienced surfers,Very consistent (150 day/year),Point-break,Right,Sandy,,Short (&amp;lt; 50m),Long (150 to 300 m),,,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Empty,Few surfers,
saltwater_point,Australia,NSW,Mid_North_Coast,,-32.0074166667,152.568333333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Regional Classic,Experienced surfers,Don't know,Point-break,Right,Sandy with rock,Fun,Normal (50 to 150m),Long (150 to 300 m),SouthEast; East,West; South,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,,,Crowded,Crowded,
scotts_head,Australia,NSW,Mid_North_Coast,,,,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Don't know,Point-break,Right,Sandy,,Long (150 to 300 m),Very Long (300 to 500 m),,,Starts working at Less than 1m / 3ft and holds up to 5m / 16 ft and over,All tides,Falling tide,Few surfers,Few surfers,
Seal_Rocks_Stilettos_,Australia,NSW,Mid_North_Coast,,-32.4307333333,152.524883333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,Experienced surfers,Regular,Reef-rocky,Right,Reef (coral; sharp rocks etc..),,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Few surfers,Crowded,
Seal_Rocks__Treachery,Australia,NSW,Mid_North_Coast,,-32.45315,152.5156,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Regional Classic,All surfers,Regular,Beach-break,Right and left,Sandy,Hollow; Fast; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),South; SouthEast; East,North; NorthWest; West,Starts working at Less than 1m / 3ft and holds up to 5m / 16 ft and over,All tides,Rising and falling tides,Few surfers,Crowded,
Seal_Rocks-Lighthouse_Beach,Australia,NSW,Mid_North_Coast,,-32.44765,152.52015,Don't know,Don't know,Don't know,Don't know,Don't know,Sloppy,All surfers,Regular,Beach-break,Right and left,Sandy,Powerful; Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast; East; NorthEast,North; NorthWest; West; SouthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid and high tide,,Empty,Empty,
seals_rocks,Australia,NSW,Mid_North_Coast,,-32.4356166667,152.529366667,Day trip,Instant access (&amp;lt; 5min),Easy to find,Private access,Don't know,Regional Classic,All surfers,Regular,Point-break,Right,Sandy with rock,Powerful; Fun; Ledgey,Short (&amp;lt; 50m),Normal (50 to 150m),North; East; NorthEast,West; SouthWest; South,Starts working at Less than 1m / 3ft and holds up to 5m / 16 ft and over,All tides,Rising and falling tides,Few surfers,Crowded,
Seals_Wedge,Australia,NSW,Mid_North_Coast,,,,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Left,Reef (coral;sharp rocks etc..) with sand,Hollow; Fast; Powerful; Ledgey; Slab,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest,NorthEast,Starts working at Less than 1m / 3ft and holds up to 5m / 16 ft and over,Low tide only,Falling tide,Empty,Empty,
Seaview_Street,Australia,NSW,Mid_North_Coast,,,,Don't know,Don't know,Don't know,Don't know,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy,,Short (&amp;lt; 50m),Long (150 to 300 m),,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Few surfers,
shark_bay,Australia,NSW,Mid_North_Coast,,,,Week-end trip,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Normal,All surfers,Don't know,Reef-rocky,Right,Sandy with rock,Fast; Powerful; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,,,Empty,Empty,
shelly_beach,Australia,NSW,Mid_North_Coast,,-31.4543,152.9329,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast; East,SouthEast; East,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,,Empty,Few surfers,
Suck_Rock,Australia,NSW,Mid_North_Coast,,-30.7441333333,152.9994,In the city,Short walk (5-15 mn),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),Powerful; Ledgey; Slab,Short (&amp;lt; 50m),Short (&amp;lt; 50m),South,SouthEast,Starts working at Less than 1m / 3ft and holds up to Don't know,Mid and high tide,Falling tide,Empty,Empty,
town_beach,Australia,NSW,Mid_North_Coast,,-31.4272666667,152.9179,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Sand-bar,Right and left,Sandy,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),East; NorthEast,SouthEast; East,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid tide,Rising and falling tides,Empty,Few surfers,
trechery_beach,Australia,NSW,Mid_North_Coast,,,,Day trip,Long walk (&gt;30 mn),OK,Public access,4x4,Regional Classic,All surfers,Regular,Beach-break,Right and left,Sandy,Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,,,,,
tuncurry_breakwall,Australia,NSW,Mid_North_Coast,,-32.1727166667,152.510316667,Take a car,Short walk (5-15 mn),Easy to find,Public access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow; Fast; Powerful; Fun,Normal (50 to 150m),Normal (50 to 150m),SouthEast,NorthWest; West,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,,Few surfers,Few surfers,
tuncurry_main_beach,Australia,NSW,Mid_North_Coast,,-32.1706833333,152.50805,In the city,Short walk (5-15 mn),OK,Public access,4x4,Regional Classic,All surfers,Don't know,Beach-break,Right and left,Sandy,Fast; Ordinary; Fun,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at  and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Few surfers,
Turners_Beach,Australia,NSW,Mid_North_Coast,,-29.4306666667,153.365233333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy with rock,Powerful; Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,South; SouthEast,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Few surfers,Crowded,
valla_beach,Australia,NSW,Mid_North_Coast,,,,Take a car,Good walk (15-30 mn),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy,Fun,Normal (50 to 150m),Normal (50 to 150m),West,,Starts working at  and holds up to 3m+ / 10ft+,Low and mid tide,,Empty,Few surfers,
wallabi_point,Australia,NSW,Mid_North_Coast,,-31.99935,152.576416667,Take a car,Instant access (&amp;lt; 5min),OK,Public access,4x4,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Ordinary; Fun,Normal (50 to 150m),Long (150 to 300 m),North,NorthWest,Starts working at Less than 1m / 3ft and holds up to 1m+ / 3ft+,Mid and high tide,Rising tide,Empty,Few surfers,
Wellington,Australia,NSW,Mid_North_Coast,,,,In the city,Good walk (15-30 mn),Easy to find,Public access,By boat only,Normal,,Regular,,Right and left,Flat rocks with sand,Powerful; Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,Falling tide,Empty,Empty,
yagin,Australia,NSW,Mid_North_Coast,,,,Day trip,Short walk (5-15 mn),OK,Public access,4x4,Normal,Experienced surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),NorthEast,North; NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Empty,Few surfers,
anna_bay_reef,Australia,NSW,Newcastle,,,,In the city,Short walk (5-15 mn),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Regular,Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey; Slab,Short (&amp;lt; 50m),Short (&amp;lt; 50m),SouthWest; South; SouthEast; East; NorthEast,North; NorthWest; West,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Don't know,Few surfers,Crowded,
the_rock_-_nobbys,Australia,NSW,Newcastle,,,,In the city,Instant access (&amp;lt; 5min),OK,Public access,Paddle &gt; 20mn or Boat,Normal,All surfers,Regular,Reef-rocky,Right and left,Boulders,Hollow; Powerful; Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,SouthEast; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising and falling tides,Empty,Empty,
Back_Bommie,Australia,NSW,Newcastle,,-32.4954333333,152.40775,Day trip,Instant access (&amp;lt; 5min),OK,Public access,4x4,World Class,Pros or kamikaze only...,Regular,Reef-rocky,Left,Reef (coral; sharp rocks etc..),,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Empty,Empty,
bar_beach,Australia,NSW,Newcastle,,-32.9420333333,151.767866667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Beach-break,Left,Sandy,Hollow; Powerful; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),South; East; NorthEast,NorthWest; West; SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Few surfers,Crowded,
Bar_Reef,Australia,NSW,Newcastle,,-32.94235,151.769766667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,Experienced surfers,Sometimes break,Reef-rocky,Left,Flat rocks with sand,Ledgey,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast,SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Mid and high tide,Rising tide,Crowded,Ultra crowded,
birubi,Australia,NSW,Newcastle,,,,Day trip,,Easy to find,Public access,Don't know,,All surfers,Don't know,,,Sandy,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),NorthEast,NorthEast,Starts working at Less than 1m / 3ft and holds up to ,Low and mid tide,Rising and falling tides,Few surfers,Few surfers,
BJ_s,Australia,NSW,Newcastle,,,,In the city,Short walk (5-15 mn),OK,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey; Slab,Short (&amp;lt; 50m),Short (&amp;lt; 50m),South; SouthEast,NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Falling tide,Few surfers,Few surfers,
blacksmiths_beach,Australia,NSW,Newcastle,,-33.0785833333,151.6589,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid tide,Rising tide,Empty,Few surfers,
boat_reef,Australia,NSW,Newcastle,,,,Take a car,Short walk (5-15 mn),Hard to find,Private access,Paddle &gt; 20mn or Boat,World Class,Pros or kamikaze only...,Regular,Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid tide,Rising tide,Empty,Empty,
winda_woppa,Australia,NSW,Newcastle,,-32.6987666667,152.19025,Week-end trip,Good walk (15-30 mn),OK,Public access,4x4,Regional Classic,Experienced surfers,Rarely break (5day/year),Point-break,Left,Sandy with rock,Fast; Powerful; Fun,Long (150 to 300 m),Exceptional (&gt;500m),South; SouthEast; East,NorthWest; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,Mid and high tide,Falling tide,Crowded,Ultra crowded,
box_beach,Australia,NSW,Newcastle,,-32.7204,152.18545,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,Regional Classic,All surfers,Regular,Beach-break,Right and left,Sandy,Hollow,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,,,Empty,,
caves,Australia,NSW,Newcastle,,,,In the city,,OK,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Hollow; Fast; Fun,Normal (50 to 150m),Long (150 to 300 m),SouthEast; East; NorthEast,NorthWest; West; SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,,Few surfers,Crowded,
caves_point,Australia,NSW,Newcastle,,-33.1123166667,151.647466667,In the city,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Experienced surfers,Very consistent (150 day/year),Point-break,Right and left,Reef (coral;sharp rocks etc..) with sand,Hollow; Powerful; Ledgey,Normal (50 to 150m),Normal (50 to 150m),SouthEast; East,NorthWest; West; SouthWest,Starts working at 2m-2.5m / 6ft-8ft and holds up to 3m+ / 10ft+,,,Empty,Few surfers,
cowrie_hole,Australia,NSW,Newcastle,,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,Experienced surfers,Regular,Reef-rocky,Right,Flat rocks,Fun,Normal (50 to 150m),Long (150 to 300 m),SouthEast,NorthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid tide,Rising and falling tides,Few surfers,Crowded,
crabbes_creek,Australia,NSW,Newcastle,,-33.0994166667,151.659183333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,Experienced surfers,Sometimes break,Reef-rocky,Right,Boulders,Powerful; Ledgey,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast; East,NorthWest; West; SouthWest,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,All tides,,Empty,Empty,
cudgee_point,Australia,NSW,Newcastle,,,,In the city,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Point-break,Right and left,Flat rocks with sand,Hollow; Powerful; Ledgey,Short (&amp;lt; 50m),Short (&amp;lt; 50m),SouthEast; East,NorthWest; West; SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,,Empty,Few surfers,
dixon_park,Australia,NSW,Newcastle,,-32.9440333333,151.766816667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Powerful; Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast; East; NorthEast,NorthWest; West,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Few surfers,Crowded,
dudley_beach,Australia,NSW,Newcastle,,-32.9731333333,151.730716667,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy,Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast; East; NorthEast,NorthWest; West; SouthWest; South,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,,,Few surfers,Few surfers,
dudley_point,Australia,NSW,Newcastle,,,,Take a car,Good walk (15-30 mn),Hard to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Regular,Point-break,Right,Reef (coral; sharp rocks etc..),Powerful; Ledgey,Normal (50 to 150m),Long (150 to 300 m),South; SouthEast,East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Mid tide,Falling tide,Empty,Few surfers,
Fingal_Spit,Australia,NSW,Newcastle,,-32.7415666667,152.188533333,Day trip,Good walk (15-30 mn),OK,Public access,Don't know,Regional Classic,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,Hollow; Fast; Powerful; Fun,Normal (50 to 150m),Normal (50 to 150m),SouthEast; East; NorthEast,West; SouthWest; South; SouthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,,Few surfers,Few surfers,
flatrock,Australia,NSW,Newcastle,,-32.9293666667,151.792983333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Don't know,Reef-rocky,Right,Flat rocks,Hollow; Fast; Powerful; Ledgey,Short (&amp;lt; 50m),Long (150 to 300 m),SouthWest; South; SouthEast; East; NorthEast,NorthWest; West; SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising and falling tides,Few surfers,Crowded,
Frenchmans_Beach,Australia,NSW,Newcastle,,-33.10145,151.654366667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy with rock,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast; East; NorthEast,NorthWest; West; SouthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid and high tide,Rising and falling tides,Few surfers,Crowded,
frenchmans_reef,Australia,NSW,Newcastle,,-33.0983833333,151.65985,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,Pros or kamikaze only...,Regular,Point-break,Right and left,Sandy with rock,Hollow; Fast,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast; East; NorthEast,NorthWest; West; SouthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Low and mid tide,Falling tide,Empty,Few surfers,
happy_gilmour,Australia,NSW,Newcastle,,,,In the city,Short walk (5-15 mn),OK,Public access,Don't know,Normal,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Hollow; Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Low and mid tide,,Empty,Empty,
Fuzzies,Australia,NSW,Newcastle,,-32.9337833333,151.7832,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,Experienced surfers,Sometimes break,Reef-rocky,Right,Sandy with rock,Hollow; Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast; East,NorthWest; West,Starts working at Less than 1m / 3ft and holds up to 1m+ / 3ft+,All tides,Falling tide,Empty,Empty,
hawks_nest,Australia,NSW,Newcastle,,-32.6731166667,152.1864,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Hollow; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),NorthEast,NorthWest; West; SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Mid tide,Rising and falling tides,Empty,Few surfers,
hectics,Australia,NSW,Newcastle,,,,Take a car,Long walk (&gt;30 mn),Hard to find,Private access,4x4,Regional Classic,Pros or kamikaze only...,Regular,Reef-rocky,,Reef (coral;sharp rocks etc..) with sand,Powerful; Ordinary,Normal (50 to 150m),Long (150 to 300 m),South,North,Starts working at 1.5m-2m /5ft-6ft and holds up to 5m / 16 ft and over,,,Few surfers,Few surfers,
jewels,Australia,NSW,Newcastle,,,,Take a car,Good walk (15-30 mn),Hard to find,Public access,4x4,Normal,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast; East; NorthEast,NorthWest; West; SouthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid tide,Rising tide,Few surfers,Few surfers,
Killcare_Triangle,Australia,NSW,Newcastle,,-33.5302333333,151.36705,Take a car,Instant access (&amp;lt; 5min),Hard to find,Public access,Don't know,Normal,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,Hollow; Fast; Fun,Normal (50 to 150m),Long (150 to 300 m),NorthWest; SouthWest,SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Few surfers,
Kingsley_Beach,Australia,NSW,Newcastle,,-32.7879166667,152.104016667,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Experienced surfers,Sometimes break,Point-break,Right and left,Sandy with rock,Hollow; Fast; Powerful; Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),Don't know,North; NorthWest; West; SouthWest,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising and falling tides,Empty,Few surfers,
leggy__point,Australia,NSW,Newcastle,,,,In the city,Good walk (15-30 mn),OK,Don't know,Don't know,Regional Classic,Experienced surfers,Rarely break (5day/year),Point-break,Right,Reef (coral;sharp rocks etc..) with sand,Hollow; Powerful; Ledgey,Normal (50 to 150m),Long (150 to 300 m),North; NorthWest; West; SouthWest; SouthEast; NorthEast,SouthEast; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Low tide only,Rising and falling tides,Ultra crowded,Ultra crowded,
little_gibber,Australia,NSW,Newcastle,,-32.6033,152.266383333,Week-end trip,,OK,Public access,4x4,Normal,All surfers,Regular,Sand-bar,Right and left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),SouthWest; South; SouthEast,South,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Few surfers,Crowded,
maneela,Australia,NSW,Newcastle,,-33.0692,151.659533333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Sand-bar,Right and left,Sandy,Hollow; Fun,,,SouthEast; NorthEast,West; SouthWest,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Rising and falling tides,Few surfers,Crowded,
merewether_-_burwood,Australia,NSW,Newcastle,,,,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,Normal,Beginners wave,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Fun; Powerless,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast; East,NorthWest; West; SouthWest,Starts working at Less than 1m / 3ft and holds up to 1m+ / 3ft+,Low and mid tide,Rising and falling tides,Empty,Few surfers,
merewether,Australia,NSW,Newcastle,,-32.94905,151.757533333,,Short walk (5-15 mn),Easy to find,Public access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Reef-rocky,Right,Flat rocks,Hollow; Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast; East; NorthEast,NorthWest; West; SouthWest,Starts working at Less than 1m / 3ft and holds up to 5m / 16 ft and over,All tides,Falling tide,Few surfers,Crowded,
moon_island,Australia,NSW,Newcastle,,-33.0871166667,151.675316667,Don't know,Don't know,Hard to find,Public access,By boat only,World Class,Experienced surfers,Don't know,Reef-coral,Right,Reef (coral; sharp rocks etc..),,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Low and mid tide,Falling tide,Empty,Few surfers,
moonie,Australia,NSW,Newcastle,,,,In the city,Short walk (5-15 mn),OK,Public access,4x4,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy with rock,Fast; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),SouthEast; NorthEast,NorthWest; West,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Few surfers,Few surfers,
morna_point,Australia,NSW,Newcastle,,,,Take a car,Good walk (15-30 mn),OK,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Regular,Reef-rocky,Left,,Fast; Powerful,Short (&amp;lt; 50m),Long (150 to 300 m),South; SouthEast; East; NorthEast,NorthWest; West; SouthWest; South,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising and falling tides,Empty,Few surfers,
groper,Australia,NSW,Newcastle,,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey,Normal (50 to 150m),Normal (50 to 150m),North; South; SouthEast; East; NorthEast,NorthWest; West; SouthWest,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Empty,Few surfers,
newcastle_-_the_wedge,Australia,NSW,Newcastle,,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Breakwater/jetty,Left,Sandy with rock,Hollow; Powerful; Fun,Normal (50 to 150m),Normal (50 to 150m),NorthEast,NorthWest,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,,,Empty,Few surfers,
newcastle_beach,Australia,NSW,Newcastle,,-32.9309333333,151.789366667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow; Fun,Short (&amp;lt; 50m),Long (150 to 300 m),SouthEast; East; NorthEast,NorthWest; West,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,All tides,,Crowded,Ultra crowded,
newcastle_harbour,Australia,NSW,Newcastle,,-32.9165,151.800566667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Don't know,Breakwater/jetty,Right,Boulders,Hollow; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),NorthEast,SouthWest; South,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,,,Empty,Few surfers,
nobbies_-_reef_shorey,Australia,NSW,Newcastle,,,,In the city,Short walk (5-15 mn),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Sand-bar,Left,Sandy,Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast,NorthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Few surfers,
